image,MEL,NV,BCC,AK,BKL,DF,VASC,SCC,UNK
ISIC_0055965,0.7692348361,0.0001516178,0.0071107522,0.0000035787,0.2208951563,0.0000000000,0.0000000079,0.0026040440,0.0000000000
ISIC_0067566,0.0000000567,0.9999994040,0.0000000000,0.0000000000,0.0000000036,0.0000004944,0.0000000310,0.0000000000,0.0000000000
ISIC_0070369,0.9999682903,0.0000128237,0.0000000673,0.0000000000,0.0000186764,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ISIC_0070257,0.0027897269,0.9972102046,0.0000000000,0.0000000000,0.0000000284,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ISIC_0056049,0.0738378912,0.8616291881,0.0000007387,0.0001773984,0.0643547848,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ISIC_0071894,0.9508808255,0.0491192080,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000009,0.0000000000,0.0000000000
ISIC_0073013,0.0700094178,0.0075730686,0.0000000126,0.0007377999,0.9216797352,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ISIC_0069426,0.0000015334,0.9999235868,0.0000024494,0.0000124920,0.0000315207,0.0000000000,0.0000000000,0.0000283380,0.0000000000
ISIC_0058037,0.9229925871,0.0608179756,0.0000000000,0.0000058990,0.0000007889,0.0000000000,0.0161827337,0.0000000000,0.0000000000
ISIC_0055777,0.0000001590,0.9999996424,0.0000000000,0.0000000000,0.0000000002,0.0000000000,0.0000001402,0.0000000000,0.0000000000
ISIC_0034467,0.0000023995,0.9999976158,0.0000000000,0.0000000000,0.0000000161,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ISIC_0068537,0.0000604140,0.9990233183,0.0000000000,0.0000000000,0.0009163213,0.0000000000,0.0000000008,0.0000000000,0.0000000000
ISIC_0035682,0.0041203699,0.0004650375,0.9243663549,0.0290015321,0.0418843068,0.0001534775,0.0000000003,0.0000089257,0.0000000000
ISIC_0057945,0.0123429094,0.9876569510,0.0000000000,0.0000000000,0.0000000000,0.0000000720,0.0000000007,0.0000000000,0.0000000000
ISIC_0057826,0.0000400563,0.0000017024,0.1620835960,0.0002394342,0.4173761010,0.0000000000,0.0000916119,0.4201675057,0.0000000000
ISIC_0071424,0.0021675199,0.0000000000,0.0000000007,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.9978324771,0.0000000000
ISIC_0059339,0.0005813990,0.8896168470,0.0604919344,0.0000000193,0.0493084267,0.0000000000,0.0000000002,0.0000013291,0.0000000000
ISIC_0035614,0.0000116985,0.9999883175,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000001,0.0000000000,0.0000000000
ISIC_0066110,0.0000009400,0.9999990463,0.0000000000,0.0000000000,0.0000000205,0.0000000002,0.0000000001,0.0000000000,0.0000000000
ISIC_0072719,0.0001033215,0.0000000000,0.0000000001,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.9998966455,0.0000000000
ISIC_0061138,0.0002324173,0.0518742912,0.5404527187,0.0010751085,0.0356016196,0.0004017422,0.0000000044,0.3703621328,0.0000000030
ISIC_0059003,0.1195594445,0.0003054221,0.0419123583,0.0000081643,0.8283045292,0.0000000000,0.0000000404,0.0099099996,0.0000000000
ISIC_0064531,0.0216002539,0.9783998132,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ISIC_0059195,0.0483134314,0.6928651333,0.0317253657,0.0000000202,0.0222882517,0.2042777091,0.0004605278,0.0000695107,0.0000000016
ISIC_0067385,0.0000015073,0.9999971390,0.0000000000,0.0000000000,0.0000005137,0.0000008663,0.0000000000,0.0000000000,0.0000000000
ISIC_0055088,0.0000000001,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ISIC_0055026,0.9976891279,0.0000000130,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0023108304,0.0000000000,0.0000000000
ISIC_0057682,0.0000111477,0.9999887943,0.0000000000,0.0000000000,0.0000000860,0.0000000000,0.0000000004,0.0000000000,0.0000000000
ISIC_0059164,0.0000000000,0.9703363180,0.0000000003,0.0000000000,0.0000000000,0.0296637304,0.0000000000,0.0000000000,0.0000000000
ISIC_0034584,0.0000003655,0.9998530149,0.0000000498,0.0000000000,0.0000115497,0.0001091038,0.0000241858,0.0000018102,0.0000000000
ISIC_0061047,0.0050785053,0.9946788549,0.0000000020,0.0000000000,0.0002426677,0.0000000000,0.0000000003,0.0000000000,0.0000000000
ISIC_0056859,0.0000017572,0.0000400760,0.8092443943,0.0009760275,0.1895739287,0.0000000000,0.0000001102,0.0001637279,0.0000000000
ISIC_0066738,0.0000019351,0.0023555805,0.0071668667,0.0000002882,0.2135038823,0.0000000000,0.0000000105,0.7769714594,0.0000000000
ISIC_0035435,0.3210040033,0.6789960265,0.0000000000,0.0000000000,0.0000000126,0.0000000000,0.0000000018,0.0000000000,0.0000000000
ISIC_0035075,0.0000042021,0.9719383121,0.0000000146,0.0000002846,0.0000274883,0.0280245952,0.0000018953,0.0000032130,0.0000000000
ISIC_0059478,0.0000059519,0.0000020827,0.0000000000,0.0000000000,0.0000000020,0.0000000000,0.9999920130,0.0000000000,0.0000000000
ISIC_0054866,0.0000000002,0.9999927282,0.0000056575,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000016776,0.0000000000
ISIC_0069502,0.0461921245,0.0001534984,0.2318458408,0.0038861004,0.7179095745,0.0000026113,0.0000000000,0.0000103104,0.0000000000
ISIC_0065705,0.0000206241,0.0023091829,0.9338520169,0.0000025657,0.0373913236,0.0000000000,0.0000165426,0.0264076423,0.0000000000
ISIC_0057731,0.0000189239,0.9937122464,0.0000000000,0.0000000002,0.0000005051,0.0062682806,0.0000000000,0.0000000000,0.0000000000
ISIC_0065822,0.1513871551,0.8484307528,0.0000000487,0.0000000000,0.0000589409,0.0000000010,0.0000000015,0.0001230383,0.0000000000
ISIC_0061942,0.8151285052,0.1844102889,0.0000000000,0.0000000006,0.0000000011,0.0000000000,0.0004612110,0.0000000000,0.0000000000
ISIC_0066387,0.0031706793,0.0273300149,0.0948402435,0.6772216558,0.1974352002,0.0000000001,0.0000019101,0.0000003151,0.0000000000
ISIC_0036024,0.9654148221,0.0336356312,0.0004218938,0.0000076252,0.0005149634,0.0000000000,0.0000000006,0.0000050586,0.0000000000
ISIC_0068755,0.0000152753,0.9999847412,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ISIC_0054474,0.0000000000,0.0061105937,0.0000312371,0.0000000000,0.9938404560,0.0000000000,0.0000000000,0.0000176444,0.0000000000
ISIC_0056382,0.9500260949,0.0499728322,0.0000000045,0.0000000037,0.0000000816,0.0000000000,0.0000009509,0.0000000000,0.0000000000
ISIC_0054183,0.0162342247,0.9837657809,0.0000000000,0.0000000000,0.0000000055,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ISIC_0060142,0.0087365508,0.9912629128,0.0000003652,0.0000000000,0.0000001325,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ISIC_0055244,0.0019489179,0.9980510473,0.0000000000,0.0000000000,0.0000000019,0.0000000000,0.0000000704,0.0000000000,0.0000000000
ISIC_0063340,0.0000428298,0.9904553294,0.0000000000,0.0000000000,0.0000000000,0.0000000289,0.0095018027,0.0000000000,0.0000000000
ISIC_0059315,0.0005491500,0.9994369149,0.0000000000,0.0000000000,0.0000000010,0.0000031865,0.0000106819,0.0000000199,0.0000000000
ISIC_0066829,0.9995748401,0.0003995672,0.0000000012,0.0000222179,0.0000028110,0.0000000000,0.0000000001,0.0000004673,0.0000000000
ISIC_0071922,0.0000000007,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000427,0.0000000000,0.0000000000
ISIC_0061881,0.1411523670,0.0003420107,0.0000000000,0.0000000000,0.0009588607,0.0000000004,0.8575370908,0.0000096750,0.0000000000
ISIC_0035904,0.7142108083,0.2840758264,0.0000000437,0.0000007558,0.0017124849,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ISIC_0035598,0.0038069170,0.2445829213,0.0000018670,0.0084546702,0.7431536317,0.0000000000,0.0000000007,0.0000000002,0.0000000000
ISIC_0060743,0.0000004926,0.9999890327,0.0000000000,0.0000000000,0.0000105118,0.0000000004,0.0000000000,0.0000000000,0.0000000000
ISIC_0035837,0.0000009509,0.9999990463,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000038,0.0000000000,0.0000000000
ISIC_0035316,0.0000294158,0.9997317195,0.0000876651,0.0000000000,0.0001511406,0.0000000000,0.0000000009,0.0000000000,0.0000000000
ISIC_0061542,0.0000057041,0.0000001762,0.0000578732,0.0000001717,0.9999339581,0.0000000000,0.0000000014,0.0000020606,0.0000000000
ISIC_0062302,0.0000002350,0.9749855399,0.0000000000,0.0000000000,0.0249860380,0.0000000000,0.0000281437,0.0000000000,0.0000000000
ISIC_0035851,0.0000042416,0.0000125127,0.6868973374,0.0006441557,0.3124373853,0.0000000000,0.0000000000,0.0000043724,0.0000000000
ISIC_0054601,0.0000905170,0.9998980761,0.0000000138,0.0000000000,0.0000113561,0.0000000000,0.0000000001,0.0000000000,0.0000000000
ISIC_0057320,0.0000000509,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000
ISIC_0056718,0.0703794658,0.9282478094,0.0000000002,0.0000000000,0.0013715400,0.0000000000,0.0000012065,0.0000000000,0.0000000000
ISIC_0035945,0.5052899718,0.4854539037,0.0000000253,0.0000000000,0.0092561236,0.0000000000,0.0000000000,0.0000000168,0.0000000000
ISIC_0035779,0.0003102731,0.9996896982,0.0000000031,0.0000000000,0.0000000454,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ISIC_0069285,0.0000975920,0.0000057561,0.0001481886,0.0007263567,0.9990221262,0.0000000000,0.0000000001,0.0000000556,0.0000000000
ISIC_0072469,0.0371698029,0.0000559618,0.0000210537,0.0000525352,0.9627006650,0.0000000000,0.0000000000,0.0000000006,0.0000000000
ISIC_0070668,0.0000514632,0.9996840954,0.0000003239,0.0000000000,0.0000087132,0.0000000000,0.0002554714,0.0000000073,0.0000000000
ISIC_0066352,0.0000000021,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000073,0.0000000000,0.0000000000
ISIC_0035898,0.0000345049,0.9974731803,0.0000002256,0.0000000000,0.0024606828,0.0000312174,0.0000001342,0.0000000000,0.0000000000
ISIC_0059566,0.0030121037,0.9969853759,0.0000000016,0.0000000000,0.0000006721,0.0000018248,0.0000000009,0.0000001616,0.0000000000
ISIC_0072517,0.9999960661,0.0000039818,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ISIC_0058595,0.0094057191,0.9905942678,0.0000000000,0.0000000000,0.0000000004,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ISIC_0063069,0.8142996430,0.1856944710,0.0000001159,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000057746,0.0000000000
ISIC_0061854,0.0047376943,0.1440794766,0.0000045143,0.0000000000,0.8511778712,0.0000000000,0.0000004122,0.0000000000,0.0000000000
ISIC_0035156,0.4353017211,0.0000024091,0.1222212464,0.3128132820,0.0627340674,0.0000000004,0.0000547510,0.0668725073,0.0000000000
ISIC_0069568,0.3650961816,0.2024914324,0.0000000000,0.0000000000,0.0000000048,0.0000000042,0.4324124157,0.0000000000,0.0000000000
ISIC_0058462,0.9952235818,0.0021145616,0.0000000000,0.0000000005,0.0000000004,0.0000000000,0.0026619239,0.0000000000,0.0000000000
ISIC_0060115,0.9999909401,0.0000090510,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ISIC_0061229,0.4804425240,0.5158905387,0.0000000004,0.0003293357,0.0033374056,0.0000000000,0.0000001871,0.0000000107,0.0000000000
ISIC_0065770,0.0000003380,0.0082294606,0.0001749486,0.0000028047,0.2003287673,0.0000000000,0.0009174622,0.7903462052,0.0000000000
ISIC_0071925,0.0017790486,0.9982209802,0.0000000000,0.0000000000,0.0000000161,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ISIC_0035298,0.0000000000,0.0000000103,0.1530072987,0.0000000000,0.7846800685,0.0000000000,0.0623126850,0.0000000013,0.0000000000
ISIC_0069046,0.0000820010,0.0000000002,0.0000014306,0.9999165535,0.0000000003,0.0000000000,0.0000000000,0.0000000001,0.0000000000
ISIC_0070326,0.0000006640,0.9997118115,0.0000007276,0.0000000001,0.0000002644,0.0000289507,0.0000004438,0.0002570918,0.0000000000
ISIC_0056320,0.0027716653,0.9963082075,0.0000000000,0.0000000000,0.0009201010,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ISIC_0072762,0.0000002065,0.9999563694,0.0000000000,0.0000000000,0.0000434030,0.0000000198,0.0000000165,0.0000000066,0.0000000000
ISIC_0058292,0.0640255734,0.2194975019,0.0000000003,0.0000000023,0.0000043486,0.0000000000,0.7164304256,0.0000421438,0.0000000000
ISIC_0067977,0.0017386540,0.0120047582,0.0002171358,0.7205459476,0.2654748857,0.0000000000,0.0000001343,0.0000184272,0.0000000000
ISIC_0059541,0.0000010396,0.0000000001,0.3929823339,0.0009933676,0.4391466379,0.0000000000,0.0000000004,0.1668766290,0.0000000000
ISIC_0060432,0.9931814075,0.0064611300,0.0000026540,0.0000000000,0.0003548033,0.0000000000,0.0000000021,0.0000000000,0.0000000000
ISIC_0068410,0.0000076975,0.0000041883,0.0000000000,0.0000000005,0.0000000000,0.0000000000,0.9999880791,0.0000000000,0.0000000000
ISIC_0067929,0.0004178752,0.5004145503,0.0001327885,0.0000000000,0.0003881444,0.4233212769,0.0753253773,0.0000000000,0.0000000000
ISIC_0062604,0.0022123901,0.0361020751,0.9156182408,0.0000000000,0.0460663624,0.0000000130,0.0000008207,0.0000000000,0.0000000000
ISIC_0058928,0.8791851401,0.1208148301,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000001,0.0000000000,0.0000000000
ISIC_0056774,0.4443557858,0.0010123685,0.0000156380,0.0020632709,0.5525526404,0.0000000000,0.0000000000,0.0000002891,0.0000000000
ISIC_0067023,0.0021757840,0.1267905980,0.0000000102,0.0000000000,0.8709762096,0.0000194341,0.0000351462,0.0000027366,0.0000000000
ISIC_0058754,0.9934605360,0.0049962141,0.0000031880,0.0000000000,0.0015399943,0.0000000000,0.0000000000,0.0000001431,0.0000000000
ISIC_0069451,0.0003163561,0.9996762276,0.0000000032,0.0000000001,0.0000074422,0.0000000000,0.0000000003,0.0000000000,0.0000000000
ISIC_0068947,0.9997720122,0.0002266650,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000012573,0.0000000000,0.0000000000
ISIC_0057557,0.9981237054,0.0000295873,0.0000000017,0.0015487921,0.0002964571,0.0000000000,0.0000003021,0.0000010422,0.0000000000
ISIC_0034565,0.0000001418,0.9999998808,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ISIC_0063983,0.0012903770,0.0003545831,0.0000000000,0.0000000148,0.0000000001,0.0000000000,0.9983550906,0.0000000000,0.0000000000
ISIC_0035241,0.0000023273,0.0000000497,0.4081797004,0.0000000000,0.5918179154,0.0000000000,0.0000000000,0.0000000002,0.0000000000
ISIC_0066905,0.9919790030,0.0072291065,0.0000000000,0.0000000000,0.0000000075,0.0000000006,0.0000008097,0.0007910695,0.0000000000
ISIC_0035742,0.9281690121,0.0365292057,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0353017151,0.0000000000,0.0000000000
ISIC_0065402,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ISIC_0072862,0.0033123621,0.9938276410,0.0000000001,0.0000000000,0.0028587875,0.0000000000,0.0000000000,0.0000011941,0.0000000000
ISIC_0069563,0.0000007617,0.0000002786,0.9999989271,0.0000000000,0.0000000506,0.0000000000,0.0000000000,0.0000000042,0.0000000000
ISIC_0070664,0.2635300756,0.7364470959,0.0000000000,0.0000000000,0.0000000005,0.0000000000,0.0000228035,0.0000000000,0.0000000000
ISIC_0063390,0.0344958864,0.9569470286,0.0000000007,0.0000000000,0.0000282165,0.0000000158,0.0000001778,0.0085286871,0.0000000000
ISIC_0067660,0.0010220495,0.0000000040,0.0000000006,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.9989780188,0.0000000000
ISIC_0034350,0.0000000000,0.9774745107,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0225254465,0.0000000000,0.0000000000
ISIC_0056627,0.0310436767,0.9689563513,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ISIC_0065834,0.0015967246,0.9984032512,0.0000000009,0.0000000000,0.0000000001,0.0000000000,0.0000000040,0.0000000000,0.0000000000
ISIC_0066804,0.0000000000,0.9988638163,0.0000000019,0.0000000078,0.0000012050,0.0000000000,0.0011349485,0.0000000000,0.0000000000
ISIC_0073093,0.0472828075,0.8950263858,0.0000189650,0.0000684194,0.0079195481,0.0483100303,0.0000000090,0.0013738697,0.0000000002
ISIC_0072256,0.0000106804,0.9999886751,0.0000000000,0.0000000000,0.0000006784,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ISIC_0054042,0.0041866046,0.0514392778,0.0253215320,0.3697577119,0.5482564569,0.0000000037,0.0010384154,0.0000000615,0.0000000000
ISIC_0061804,0.0000000000,0.9998996258,0.0000000000,0.0000000000,0.0000950772,0.0000000056,0.0000052787,0.0000000000,0.0000000000
ISIC_0059612,0.0000000095,0.9999917746,0.0000000000,0.0000000000,0.0000080719,0.0000000032,0.0000000937,0.0000000434,0.0000000000
ISIC_0062403,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ISIC_0067846,0.0000200530,0.9999799728,0.0000000000,0.0000000000,0.0000000025,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ISIC_0059138,0.0001464499,0.9996905327,0.0000000002,0.0000000005,0.0000003735,0.0001624043,0.0000000005,0.0000002740,0.0000000000
ISIC_0070762,0.0020215393,0.0000280890,0.9979056120,0.0000000000,0.0000056356,0.0000000007,0.0000391007,0.0000000001,0.0000000000
ISIC_0035342,0.9985538125,0.0014460011,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000001542,0.0000000000,0.0000000000
ISIC_0065643,0.8213810921,0.0004379209,0.0747667700,0.0111971479,0.0916628614,0.0000061448,0.0000000003,0.0005481330,0.0000000003
